step,axis,offset_from_start,target_position,measured_position,measured_steps,flycap_bright_row,flycap_bright_col,flycap_bright_value,thorcam_bright_row,thorcam_bright_col,thorcam_bright_value,base_name,flycap_ok,thorcam_ok
82,g2_x_rot,0.0984,0.0984,0.0984,164,464,136,255,911,279,52460,x_rot_positive_1.2milideg_step82,True,True
83,g2_x_rot,0.0996,0.0996,0.0996,166,468,142,255,911,279,52943,x_rot_positive_1.2milideg_step83,True,True
84,g2_x_rot,0.1008,0.1008,0.1008,168,472,140,255,928,271,53462,x_rot_positive_1.2milideg_step84,True,True
85,g2_x_rot,0.1020,0.1020,0.1020,170,476,132,255,928,271,54743,x_rot_positive_1.2milideg_step85,True,True
86,g2_x_rot,0.1032,0.1032,0.1032,172,478,594,255,928,272,55550,x_rot_positive_1.2milideg_step86,True,True
87,g2_x_rot,0.1044,0.1044,0.1044,174,478,576,217,928,272,56315,x_rot_positive_1.2milideg_step87,True,True
88,g2_x_rot,0.1056,0.1056,0.1056,176,0,2,242,928,272,56283,x_rot_positive_1.2milideg_step88,True,True
89,g2_x_rot,0.1068,0.1068,0.1068,178,0,1,229,928,272,55771,x_rot_positive_1.2milideg_step89,True,True
90,g2_x_rot,0.1080,0.1080,0.1080,180,0,3,255,928,272,55287,x_rot_positive_1.2milideg_step90,True,True
91,g2_x_rot,0.1092,0.1092,0.1092,182,0,1,229,928,272,54271,x_rot_positive_1.2milideg_step91,True,True
92,g2_x_rot,0.1104,0.1104,0.1104,184,0,2,201,933,271,53199,x_rot_positive_1.2milideg_step92,True,True
93,g2_x_rot,0.1116,0.1116,0.1116,186,0,1,233,937,272,52191,x_rot_positive_1.2milideg_step93,True,True
94,g2_x_rot,0.1128,0.1128,0.1128,188,0,2,193,940,275,51159,x_rot_positive_1.2milideg_step94,True,True
95,g2_x_rot,0.1140,0.1140,0.1140,190,0,0,123,967,727,51420,x_rot_positive_1.2milideg_step95,True,True
96,g2_x_rot,0.1152,0.1152,0.1152,192,0,1,191,967,727,52444,x_rot_positive_1.2milideg_step96,True,True
97,g2_x_rot,0.1164,0.1164,0.1164,194,0,1,196,967,727,54227,x_rot_positive_1.2milideg_step97,True,True
98,g2_x_rot,0.1176,0.1176,0.1176,196,0,3,166,967,727,54775,x_rot_positive_1.2milideg_step98,True,True
99,g2_x_rot,0.1188,0.1188,0.1188,198,0,1,253,967,727,55039,x_rot_positive_1.2milideg_step99,True,True
100,g2_x_rot,0.1200,0.1200,0.1200,200,0,3,241,967,727,54527,x_rot_positive_1.2milideg_step100,True,True
101,g2_x_rot,0.1212,0.1212,0.1212,202,0,0,222,967,727,54231,x_rot_positive_1.2milideg_step101,True,True
102,g2_x_rot,0.1224,0.1224,0.1224,204,0,0,236,971,723,53231,x_rot_positive_1.2milideg_step102,True,True
103,g2_x_rot,0.1236,0.1236,0.1236,206,0,0,249,971,723,51946,x_rot_positive_1.2milideg_step103,True,True
104,g2_x_rot,0.1248,0.1248,0.1248,208,0,2,171,993,270,51449,x_rot_positive_1.2milideg_step104,True,True
105,g2_x_rot,0.1260,0.1260,0.1260,210,0,2,231,993,270,51946,x_rot_positive_1.2milideg_step105,True,True
106,g2_x_rot,0.1272,0.1272,0.1266,211,0,2,198,994,275,51935,x_rot_positive_1.2milideg_step106,True,True
107,g2_x_rot,0.1284,0.1284,0.1284,214,0,1,229,1006,266,52203,x_rot_positive_1.2milideg_step107,True,True
108,g2_x_rot,0.1296,0.1296,0.1296,216,0,3,168,1006,266,52703,x_rot_positive_1.2milideg_step108,True,True
109,g2_x_rot,0.1308,0.1308,0.1308,218,0,1,253,1006,266,52735,x_rot_positive_1.2milideg_step109,True,True
110,g2_x_rot,0.1320,0.1320,0.1314,219,0,3,177,1006,266,52191,x_rot_positive_1.2milideg_step110,True,True
111,g2_x_rot,0.1332,0.1332,0.1332,222,0,3,173,1008,264,51918,x_rot_positive_1.2milideg_step111,True,True
112,g2_x_rot,0.1344,0.1344,0.1344,224,0,3,169,1008,264,51183,x_rot_positive_1.2milideg_step112,True,True
113,g2_x_rot,0.1356,0.1356,0.1356,226,0,3,247,1015,277,50431,x_rot_positive_1.2milideg_step113,True,True
114,g2_x_rot,0.1368,0.1368,0.1362,227,0,3,243,1021,276,50397,x_rot_positive_1.2milideg_step114,True,True
115,g2_x_rot,0.1380,0.1380,0.1380,230,0,1,212,1032,273,50661,x_rot_positive_1.2milideg_step115,True,True
116,g2_x_rot,0.1392,0.1392,0.1392,232,0,3,235,1036,265,50661,x_rot_positive_1.2milideg_step116,True,True
117,g2_x_rot,0.1404,0.1404,0.1404,234,0,3,248,1043,1183,50910,x_rot_positive_1.2milideg_step117,True,True
118,g2_x_rot,0.1416,0.1416,0.1410,235,0,0,196,1043,1183,51439,x_rot_positive_1.2milideg_step118,True,True
119,g2_x_rot,0.1428,0.1428,0.1428,238,0,0,210,1043,1183,51406,x_rot_positive_1.2milideg_step119,True,True
120,g2_x_rot,0.1440,0.1440,0.1440,240,0,3,236,1043,1183,51436,x_rot_positive_1.2milideg_step120,True,True
121,g2_x_rot,0.1452,0.1452,0.1452,242,0,1,251,1043,1183,50429,x_rot_positive_1.2milideg_step121,True,True
122,g2_x_rot,0.1464,0.1464,0.1458,243,0,3,198,1055,276,50647,x_rot_positive_1.2milideg_step122,True,True
123,g2_x_rot,0.1476,0.1476,0.1476,246,0,2,243,1061,277,50663,x_rot_positive_1.2milideg_step123,True,True
124,g2_x_rot,0.1488,0.1488,0.1488,248,0,2,247,1062,275,50637,x_rot_positive_1.2milideg_step124,True,True
125,g2_x_rot,0.1500,0.1500,0.1500,250,0,1,149,1068,275,49918,x_rot_positive_1.2milideg_step125,True,True
126,g2_x_rot,0.1512,0.1512,0.1506,251,0,2,107,1074,275,50639,x_rot_positive_1.2milideg_step126,True,True
127,g2_x_rot,0.1524,0.1524,0.1524,254,0,1,186,1074,275,50431,x_rot_positive_1.2milideg_step127,True,True
128,g2_x_rot,0.1536,0.1536,0.1536,256,0,2,134,1074,277,50421,x_rot_positive_1.2milideg_step128,True,True
129,g2_x_rot,0.1548,0.1548,0.1548,258,0,2,247,1081,278,50159,x_rot_positive_1.2milideg_step129,True,True
130,g2_x_rot,0.1560,0.1560,0.1560,260,0,3,173,1080,278,50163,x_rot_positive_1.2milideg_step130,True,True
131,g2_x_rot,0.1572,0.1572,0.1572,262,0,1,239,1093,271,50171,x_rot_positive_1.2milideg_step131,True,True
132,g2_x_rot,0.1584,0.1584,0.1584,264,0,3,182,1096,273,50391,x_rot_positive_1.2milideg_step132,True,True
133,g2_x_rot,0.1596,0.1596,0.1596,266,0,0,179,1099,277,50163,x_rot_positive_1.2milideg_step133,True,True
134,g2_x_rot,0.1608,0.1608,0.1608,268,0,0,192,1103,276,50421,x_rot_positive_1.2milideg_step134,True,True
135,g2_x_rot,0.1620,0.1620,0.1620,270,0,3,251,1107,276,50399,x_rot_positive_1.2milideg_step135,True,True
136,g2_x_rot,0.1632,0.1632,0.1632,272,0,0,219,1112,721,51159,x_rot_positive_1.2milideg_step136,True,True
137,g2_x_rot,0.1644,0.1644,0.1644,274,0,0,232,1116,723,51915,x_rot_positive_1.2milideg_step137,True,True
138,g2_x_rot,0.1656,0.1656,0.1656,276,0,0,246,1118,723,51935,x_rot_positive_1.2milideg_step138,True,True
139,g2_x_rot,0.1668,0.1668,0.1668,278,0,2,195,1124,722,51967,x_rot_positive_1.2milideg_step139,True,True
140,g2_x_rot,0.1680,0.1680,0.1680,280,0,2,145,1124,722,51931,x_rot_positive_1.2milideg_step140,True,True
141,g2_x_rot,0.1692,0.1692,0.1692,282,0,3,158,1124,722,51919,x_rot_positive_1.2milideg_step141,True,True
142,g2_x_rot,0.1704,0.1704,0.1704,284,0,1,237,1127,719,50902,x_rot_positive_1.2milideg_step142,True,True
143,g2_x_rot,0.1716,0.1716,0.1716,286,0,3,200,1142,269,51143,x_rot_positive_1.2milideg_step143,True,True
144,g2_x_rot,0.1728,0.1728,0.1728,288,0,3,229,1143,270,51691,x_rot_positive_1.2milideg_step144,True,True
145,g2_x_rot,0.1740,0.1740,0.1740,290,0,2,129,1143,269,51962,x_rot_positive_1.2milideg_step145,True,True
146,g2_x_rot,0.1752,0.1752,0.1752,292,0,2,185,1143,270,51918,x_rot_positive_1.2milideg_step146,True,True
147,g2_x_rot,0.1764,0.1764,0.1764,294,0,3,249,1151,277,52191,x_rot_positive_1.2milideg_step147,True,True
148,g2_x_rot,0.1776,0.1776,0.1776,296,0,0,158,1152,277,51962,x_rot_positive_1.2milideg_step148,True,True
149,g2_x_rot,0.1788,0.1788,0.1788,298,0,2,197,1162,272,52479,x_rot_positive_1.2milideg_step149,True,True
150,g2_x_rot,0.1800,0.1800,0.1800,300,0,2,218,1162,272,52445,x_rot_positive_1.2milideg_step150,True,True
